ID,Question,Confidence Question (AI),Confidence Question (Manual),Réponses Proposées,Confidence Réponses Proposées (AI),Confidence Réponses Proposées (Manual),Réponse Vraie,Confidence Réponse Vraie (AI),Confidence Réponse Vraie (Manual)
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_2,"Quelle est la définition correcte de ""Alvéoles"" ?",7.0,,lobule pulmonaire | petits sacs recouverts de | terrain de tennis | paroi musculaire,8.0,,lobule pulmonaire,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_3,"Quelle est la définition correcte de ""5 alvéoles"" ?",7.0,,paroi musculaire | lobule pulmonaire | petits sacs recouverts de | terrain de tennis,8.0,,paroi musculaire,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""-Bradypnée"" ?",7.0,,augmentation de la FR | Processus d'activation des récepteurs périphériques | trouble du rythme respiratoire . | diminution de la FR,8.0,,augmentation de la FR,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""-Tachypnée / polypnée"" ?",7.0,,trouble du rythme respiratoire . | augmentation de la FR | diminution de la FR | Processus d'activation des récepteurs périphériques,8.0,,trouble du rythme respiratoire .,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_2,"Quelle est la définition correcte de ""-Dyspnée"" ?",7.0,,augmentation de la FR | trouble du rythme respiratoire . | Processus d'activation des récepteurs périphériques | diminution de la FR,8.0,,augmentation de la FR,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""–Pneumothorax"" ?",7.0,,sang dans la cavité pleurale | épanchement inflammatoire (pus) dans la | Processus d'activation des récepteurs périphériques | présence d’air dans l’espace pleural,8.0,,sang dans la cavité pleurale,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_2,"Quelle est la définition correcte de ""–Hémothorax"" ?",7.0,,présence d’air dans l’espace pleural | sang dans la cavité pleurale | Processus d'activation des récepteurs périphériques | épanchement inflammatoire (pus) dans la,8.0,,présence d’air dans l’espace pleural,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_3,"Quelle est la définition correcte de ""–Pleurésie"" ?",7.0,,épanchement inflammatoire (pus) dans la | Processus d'activation des récepteurs périphériques | présence d’air dans l’espace pleural | sang dans la cavité pleurale,8.0,,épanchement inflammatoire (pus) dans la,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Pression positive"" ?",7.0,,Régulation de l'homéostasie cellulaire | ventilation mécanique | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique,8.0,,Régulation de l'homéostasie cellulaire,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""compliant ("" ?",6.0,,Mécanisme d'inhibition de la transmission synaptique | distensible) augmentera beaucoup plus son volume | Processus d'activation des récepteurs périphériques | raide). La compliance,8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""qu’un poumon peu compliant ("" ?",6.0,,raide). La compliance | distensible) augmentera beaucoup plus son volume | Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques,8.0,,raide). La compliance,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""totales"" ?",7.0,,Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | >une zone relativement silencieuse en,8.0,,Régulation de l'homéostasie cellulaire,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""51Respiration"" ?",7.0,,processus Rythmique etInconscient (normalement) | squelettiques non autorythmiques | déclenchée par Motoneurones contrôlés par | Processus d'activation des récepteurs périphériques,8.0,,processus Rythmique etInconscient (normalement),7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Muscles respiratoires"" ?",7.0,,processus Rythmique etInconscient (normalement) | déclenchée par Motoneurones contrôlés par | Processus d'activation des récepteurs périphériques | squelettiques non autorythmiques,8.0,,processus Rythmique etInconscient (normalement),7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_2,"Quelle est la définition correcte de ""Activité musculaire"" ?",7.0,,processus Rythmique etInconscient (normalement) | déclenchée par Motoneurones contrôlés par | squelettiques non autorythmiques | Processus d'activation des récepteurs périphériques,8.0,,processus Rythmique etInconscient (normalement),7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""a. le bulbe"" ?",7.0,,Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | contient le centre respiratoire,8.0,,Régulation de l'homéostasie cellulaire,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Lieu"" ?",7.0,,"Cerveau (Bulbe près Neurones | Artère Carotide et Artère Aorte | Variations pCO2dans Liquide | Variations plasmatiques paO2,",8.0,,Cerveau (Bulbe près Neurones,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Détecte"" ?",7.0,,"Cerveau (Bulbe près Neurones | Variations pCO2dans Liquide | Variations plasmatiques paO2, | Artère Carotide et Artère Aorte",8.0,,Cerveau (Bulbe près Neurones,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_2,"Quelle est la définition correcte de ""Lieu"" ?",7.0,,"Variations pCO2dans Liquide | Variations plasmatiques paO2, | Artère Carotide et Artère Aorte | Cerveau (Bulbe près Neurones",8.0,,Variations pCO2dans Liquide,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_3,"Quelle est la définition correcte de ""Détecte"" ?",7.0,,"Variations pCO2dans Liquide | Variations plasmatiques paO2, | Cerveau (Bulbe près Neurones | Artère Carotide et Artère Aorte",8.0,,Variations pCO2dans Liquide,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""MAIS"" ?",7.0,,moins importantes en Régulation quotidienne de | Mécanisme d'inhibition de la transmission synaptique | Si pO2< 60 mmHg | Processus d'activation des récepteurs périphériques,7.5,,moins importantes en Régulation quotidienne de,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""–Petite circulation"" ?",7.0,,Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire | ventricule droit artères,8.0,,Processus d'activation des récepteurs périphériques,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Relation proportionnelle entre S et DSurface alvéolaire totale"" ?",7.0,,Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques | 50 à 100 m2 | Régulation de l'homéostasie cellulaire,7.5,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""CO210 fois + soluble que O2PdsM CO2(44) PdsM O2 (32)Diffusion gaz"" ?",7.0,,Processus d'activation des récepteurs périphériques | Régulation de l'homéostasie cellulaire | (Loi de Graham)α | Mécanisme d'inhibition de la transmission synaptique,7.5,,Processus d'activation des récepteurs périphériques,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Sujet normal"" ?",7.0,,Valeurs régionales | VA / Q varie beaucoup dans le 1/3 supérieur du poumon9 | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique,7.5,,Valeurs régionales,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Rq"" ?",7.0,,VA / Q varie beaucoup dans le 1/3 supérieur du poumon9 | Valeurs régionales | Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques,7.5,,VA / Q varie beaucoup dans le 1/3 supérieur du poumon9,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_3,"Quelle est la définition correcte de ""•Donc si la SpO2 baisse"" ?",7.0,,Régulation de l'homéostasie cellulaire | le plus simple est d’augmenter | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique,8.0,,Régulation de l'homéostasie cellulaire,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Argon 00,93 % 007,07 mm Hg (0,93 kPa)Pression partielle"" ?",7.0,,% x pression atmosphériqueNotion Pressions partielles | Processus d'activation des récepteurs périphériques | Régulation de l'homéostasie cellulaire | Mécanisme d'inhibition de la transmission synaptique,8.0,,% x pression atmosphériqueNotion Pressions partielles,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""1 Atmosphère (A)"" ?",7.0,,"8848 m , PpO2 | 0,21 X Pression atmosphérique | 4807 m PpO2 | 760 mm de Hg",8.0,,"8848 m , PpO2",7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_3,"Quelle est la définition correcte de ""PpO2"" ?",7.0,,"4807 m PpO2 | 760 mm de Hg | 0,21 X Pression atmosphérique | 8848 m , PpO2",8.0,,4807 m PpO2,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_4,"Quelle est la définition correcte de ""AuMont -Blanc"" ?",7.0,,"4807 m PpO2 | 760 mm de Hg | 0,21 X Pression atmosphérique | 8848 m , PpO2",8.0,,4807 m PpO2,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_6,"Quelle est la définition correcte de ""A l'Everest"" ?",7.0,,"4807 m PpO2 | 0,21 X Pression atmosphérique | 8848 m , PpO2 | 760 mm de Hg",8.0,,4807 m PpO2,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""placé sur le doigt"" ?",7.0,,Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques | oxymétrie de pouls. | Mécanisme d'inhibition de la transmission synaptique,8.0,,Régulation de l'homéostasie cellulaire,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Gazeuse (PaCO 2)"" ?",7.0,,5 à 10% éliminée par la | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | recyclage hépatique et rénal,8.0,,5 à 10% éliminée par la,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_4,"Quelle est la définition correcte de ""2 dernières formes"" ?",7.0,,Mécanisme d'inhibition de la transmission synaptique | recyclage hépatique et rénal | 5 à 10% éliminée par la | Processus d'activation des récepteurs périphériques,8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Oxygenation"" ?",7.0,,consomme l’oxygène et produit du | oxygène → bronches → alvéoles→ sang | Processus d'activation des récepteurs périphériques | CO2→ sang→ poumon→ expiration,8.0,,consomme l’oxygène et produit du,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Métabolisme cellulaire"" ?",7.0,,CO2→ sang→ poumon→ expiration | oxygène → bronches → alvéoles→ sang | Processus d'activation des récepteurs périphériques | consomme l’oxygène et produit du,8.0,,CO2→ sang→ poumon→ expiration,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_2,"Quelle est la définition correcte de ""Ventilation"" ?",7.0,,CO2→ sang→ poumon→ expiration | Processus d'activation des récepteurs périphériques | consomme l’oxygène et produit du | oxygène → bronches → alvéoles→ sang,8.0,,CO2→ sang→ poumon→ expiration,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""•Analyse Quantitative"" ?",7.0,,CAPNOMETRIE | Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques | CAPNOGRAPHIE,7.5,,CAPNOMETRIE,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Mesure continue"" ?",7.0,,Inspiration | Processus d'activation des récepteurs périphériques | [CO2] dans les voies | Mécanisme d'inhibition de la transmission synaptique,7.5,,Inspiration,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Phase 0"" ?",7.0,,Mécanisme d'inhibition de la transmission synaptique | [CO2] dans les voies | Processus d'activation des récepteurs périphériques | Inspiration,7.5,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""–Chute du DC"" ?",7.0,,Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire | chute de la capnographie,8.0,,Processus d'activation des récepteurs périphériques,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_0,"Quelle est la définition correcte de ""Capnographie"" ?",7.0,,"Capnographie | 5 à 10 sec.La capnographie donne donc | FC, ECG, TA | qqs sec.… globale",7.5,,Capnographie,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_1,"Quelle est la définition correcte de ""Perfusion"" ?",7.0,,"Capnographie | 5 à 10 sec.La capnographie donne donc | FC, ECG, TA | qqs sec.… globale",7.5,,Capnographie,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_2,"Quelle est la définition correcte de ""Ventilation"" ?",7.0,,"Capnographie | qqs sec.… globale | FC, ECG, TA | 5 à 10 sec.La capnographie donne donc",7.5,,Capnographie,7.5,
module_02_anatomie_physiologie_respiratoire_prepa_iade_pyc_2018_def_3,"Quelle est la définition correcte de ""ECG"" ?",7.0,,"5 à 10 sec.La capnographie donne donc | Capnographie | FC, ECG, TA | qqs sec.… globale",7.5,,5 à 10 sec.La capnographie donne donc,7.5,
module_03_pneomopathies_prepa_eiade_2020_def_0,"Quelle est la définition correcte de ""courbe d’apprentissage de l’opérateurPneumopathie communautaire"" ?",7.0,,Processus d'activation des récepteurs périphériques | autres examens | Régulation de l'homéostasie cellulaire | Mécanisme d'inhibition de la transmission synaptique,7.5,,Processus d'activation des récepteurs périphériques,7.5,
module_03_pneomopathies_prepa_eiade_2020_def_0,"Quelle est la définition correcte de ""• PAC non hospitalisée"" ?",7.0,,Processus d'activation des récepteurs périphériques | Régulation de l'homéostasie cellulaire | pas de biologie | Mécanisme d'inhibition de la transmission synaptique,7.5,,Processus d'activation des récepteurs périphériques,7.5,
module_03_pneomopathies_prepa_eiade_2020_def_0,"Quelle est la définition correcte de ""Amoxicilline 3g/j apyrexie en 4Pneumopathie communautaire"" ?",7.0,,"Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire | Pneumocoque,",7.5,,Processus d'activation des récepteurs périphériques,7.5,
module_03_pneomopathies_prepa_eiade_2020_def_0,"Quelle est la définition correcte de ""LEGIONELLA PNEUMOPHILA"" ?",7.0,,MALADIE DES | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire,7.5,,MALADIE DES,7.5,
module_03_pneomopathies_prepa_eiade_2020_def_0,"Quelle est la définition correcte de ""–AUTRES VIRUS"" ?",7.0,,"VRS (enfant), adénovirus, | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire",8.0,,"VRS (enfant), adénovirus,",7.5,
module_03_pneomopathies_prepa_eiade_2020_def_0,"Quelle est la définition correcte de ""PAC"" ?",7.0,,Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques | Antibiothérapie probabiliste | Mécanisme d'inhibition de la transmission synaptique,8.0,,Régulation de l'homéostasie cellulaire,7.5,
module_03_pneomopathies_prepa_eiade_2020_def_0,"Quelle est la définition correcte de ""PAC"" ?",7.0,,Mécanisme d'inhibition de la transmission synaptique | Pseudomonas aeruginosaPie/Tazo ou C4G (cefepime…) ou | Processus d'activation des récepteurs périphériques | Antibiothérapie probabiliste en réanimation,8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_03_pneomopathies_prepa_eiade_2020_prop_0,"Parmi les propositions suivantes, laquelle concerne rétrospectif ?",7.7,,"antigénurie | Détection des AG de LP dans les urines | sérodiagnostic (taux AC) : diagnostic tardif, | Détection des AG par IF (LBA)",7.5,,antigénurie,7.5,
module_03_pneomopathies_prepa_eiade_2020_prop_1,"Parmi les propositions suivantes, laquelle concerne rétrospectif ?",7.7,,"Détection des AG par IF (LBA) | Détection des AG de LP dans les urines | Pic des AC : au plus tôt 3 à 4 sem après le début | sérodiagnostic (taux AC) : diagnostic tardif,",8.0,,Détection des AG par IF (LBA),7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""Abouti à l’urine primitive"" ?",7.0,,eau + petites molécules ou molécules dissoutes | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire,8.0,,eau + petites molécules ou molécules dissoutes,7.5,
module_04_cours_concours_iade_2025_pdf_def_3,"Quelle est la définition correcte de ""▪MDRD"" ?",7.0,,"Processus d'activation des récepteurs périphériques | selon sexe, âge, ethnie | Mécanisme d'inhibition de la transmission synaptique | selon âge, sexe, ethnie",8.0,,Processus d'activation des récepteurs périphériques,7.5,
module_04_cours_concours_iade_2025_pdf_def_4,"Quelle est la définition correcte de ""▪CKD -EPI"" ?",7.0,,"Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques | selon âge, sexe, ethnie | selon sexe, âge, ethnie",8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""Tonicité"" ?",7.0,,2x (Na + K) + Gly 285 +/- 5 mOsmol /LLoi de l’osmose➢Loi de l’osmose à | Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique,8.0,,2x (Na + K) + Gly 285 +/- 5 mOsmol /LLoi de l’osmose➢Loi de l’osmose à,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""Gain ou perte d’eau"" ?",7.0,,Régulation de l'homéostasie cellulaire | Gain ou perte de Na ⇒ tonicité plasmatique inchangée | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique,8.0,,Régulation de l'homéostasie cellulaire,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""Gain ou perte d’eau"" ?",7.0,,Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Gain ou perte de Na ⇒ tonicité plasmatique inchangée | Régulation de l'homéostasie cellulaire,8.0,,Processus d'activation des récepteurs périphériques,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""Gain ou perte d’eau"" ?",7.0,,Gain ou perte de Na ⇒ tonicité plasmatique inchangée | Processus d'activation des récepteurs périphériques | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire,8.0,,Gain ou perte de Na ⇒ tonicité plasmatique inchangée,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""Tonicité"" ?",7.0,,Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire | 2x (Na + K) + Gly 285 +/- 5 mOsmol /L | Processus d'activation des récepteurs périphériques,8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""➢TTT"" ?",7.0,,"Processus d'activation des récepteurs périphériques | restric hydriquePertes rénales, cut, dig | restric hydro -NaSIADH | Mécanisme d'inhibition de la transmission synaptique",8.0,,Processus d'activation des récepteurs périphériques,7.5,
module_04_cours_concours_iade_2025_pdf_def_1,"Quelle est la définition correcte de ""➢TTT"" ?",7.0,,"restric hydro -NaSIADH | Mécanisme d'inhibition de la transmission synaptique | restric hydriquePertes rénales, cut, dig | Processus d'activation des récepteurs périphériques",8.0,,restric hydro -NaSIADH,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""➢TTT"" ?",7.0,,"Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire | eau, MinirinIatrogène SSH | Processus d'activation des récepteurs périphériques",8.0,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""➢PRÉ rénale"" ?",7.0,,Mécanisme d'inhibition de la transmission synaptique | fonctionnelle 30% | Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques,7.5,,Mécanisme d'inhibition de la transmission synaptique,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""➢POST rénale 10%"" ?",7.0,,obstructif écho ou uroscan | Mécanisme d'inhibition de la transmission synaptique | Régulation de l'homéostasie cellulaire | Processus d'activation des récepteurs périphériques,8.0,,obstructif écho ou uroscan,7.5,
module_04_cours_concours_iade_2025_pdf_def_0,"Quelle est la définition correcte de ""fièvre"" ?",7.0,,"PNA obstructive, terrain rein unique, grossesse | AINS Spasfon +/- morphine | Mécanisme d'inhibition de la transmission synaptique | Processus d'activation des récepteurs périphériques",8.0,,"PNA obstructive, terrain rein unique, grossesse",7.5,
module_04_cours_concours_iade_2025_pdf_def_1,"Quelle est la définition correcte de ""➢Antalgiques"" ?",7.0,,"AINS Spasfon +/- morphine | Mécanisme d'inhibition de la transmission synaptique | PNA obstructive, terrain rein unique, grossesse | Processus d'activation des récepteurs périphériques",8.0,,AINS Spasfon +/- morphine,7.5,
